Highest level of qualification (8 categories),Ethnic group,Achieved,population,Percentage,Census
Apprenticeship,Asian / Asian British,81689,5515420,0.014811021,2021
Apprenticeship,Black,60022,2409277,0.024912868,2021
Apprenticeship,Mixed ethnic groups,32921,1717976,0.019162666,2021
Apprenticeship,"English, Welsh, Scottish",2207193,44355038,0.049761946,2021
Apprenticeship, Irish,20082,507465,0.039573173,2021
Apprenticeship,Gypsy or other white,157454,3836747,0.041038411,2021
Apprenticeship,Other ethnic group,30891,1255619,0.024602208,2021
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Asian / Asian British,1798023,5515420,0.325999289,2021
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Black,785219,2409277,0.325914787,2021
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Mixed ethnic groups,378149,1717976,0.220113087,2021
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)","English, Welsh, Scottish",11346418,44355038,0.255809002,2021
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Irish,208959,507465,0.41177027,2021
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Gypsy or other white,1511219,3836747,0.393880285,2021
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Other ethnic group,385244,1255619,0.306816001,2021
Apprenticeship,Asian / Asian British,21514,3176206,0.00677349,2011
Apprenticeship,Black,18388,1356097,0.013559502,2011
Apprenticeship,Mixed ethnic groups,11618,673666,0.017245935,2011
Apprenticeship,"English, Welsh, Scottish",1537861,37216588,0.041321923,2011
Apprenticeship, Irish,14129,500809,0.028212352,2011
Apprenticeship,Gypsy or other white,25349,2144069,0.011822847,2011
Apprenticeship,Other ethnic group,2918,429345,0.006796399,2011
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Asian / Asian British,1095578,3176206,0.344932917,2011
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Black,449894,1356097,0.331756504,2011
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Mixed ethnic groups,189209,673666,0.280864701,2011
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)","English, Welsh, Scottish",9555418,37216588,0.256751586,2011
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Irish,168424,500809,0.33630386,2011
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Gypsy or other white,171830,2144069,0.08014201,2011
"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Other ethnic group,145198,429345,0.33818491,2011
