England and Wales Code,England and Wales,Highest level of qualification (8 categories) Code,Highest level of qualification (8 categories),Ethnic group,Achieved,population,Percentage,
K04000001,England and Wales,3,Apprenticeship,"Asian, Asian British or Asian Welsh",81689,5515420,0.014811021,
K04000001,England and Wales,3,Apprenticeship,"Black, Caribbean or African",60022,2409277,0.024912868,
K04000001,England and Wales,3,Apprenticeship,Mixed ethnic groups,32921,1717976,0.019162666,
K04000001,England and Wales,3,Apprenticeship,"White: English, Welsh, Scottish",2207193,44355038,0.049761946,
K04000001,England and Wales,3,Apprenticeship,White: Irish,20082,507465,0.039573173,
K04000001,England and Wales,3,Apprenticeship,"White: Gypsy, Roma or Other White",157454,3836747,0.041038411,
K04000001,England and Wales,3,Apprenticeship,Other ethnic group,30891,1255619,0.024602208,
K04000001,England and Wales,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)","Asian, Asian British or Asian Welsh",1798023,5515420,0.325999289,
K04000001,England and Wales,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)","Black, Caribbean or African",785219,2409277,0.325914787,
K04000001,England and Wales,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Mixed ethnic groups,378149,1717976,0.220113087,
K04000001,England and Wales,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)","White: English, Welsh, Scottish",11346418,44355038,0.255809002,
K04000001,England and Wales,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",White: Irish,208959,507465,0.41177027,
K04000001,England and Wales,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)","White: Gypsy, Roma or Other White",1511219,3836747,0.393880285,
K04000001,England and Wales,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",Other ethnic group,385244,1255619,0.306816001,
