Industry (current) (9 categories) Code,Industry,Highest level of qualification Code,Highest level of qualification,Sex Code,Sex,Observation,Population,Percentage
1,Agriculture,0,No qualifications,1,Female,12933,30420206,0.000425145
1,Agriculture,0,No qualifications,2,Male,66541,29177341,0.002280571
1,Agriculture,1,Lvl 1 : 1 to 4 GCSEs ,1,Female,15468,30420206,0.000508478
1,Agriculture,1,Lvl 1 : 1 to 4 GCSEs ,2,Male,52912,29177341,0.001813462
1,Agriculture,2,Lvl 2 : 5 or more GCSEs,1,Female,28622,30420206,0.000940888
1,Agriculture,2,Lvl 2 : 5 or more GCSEs,2,Male,66267,29177341,0.00227118
1,Agriculture,3,Lvl 3: 2 or more A levels,1,Female,33900,30420206,0.001114391
1,Agriculture,3,Lvl 3: 2 or more A levels,2,Male,102585,29177341,0.003515913
1,Agriculture,4,Lvl 4 or above: Degree,1,Female,62806,30420206,0.002064615
1,Agriculture,4,Lvl 4 or above: Degree,2,Male,146567,29177341,0.005023316
1,Agriculture,5,apprenticeships,1,Female,7723,30420206,0.000253877
1,Agriculture,5,apprenticeships,2,Male,48737,29177341,0.001670372
2,Manufacturing,0,No qualifications,1,Female,77586,30420206,0.002550476
2,Manufacturing,0,No qualifications,2,Male,187297,29177341,0.006419262
2,Manufacturing,1,Lvl 1 : 1 to 4 GCSEs ,1,Female,67138,30420206,0.00220702
2,Manufacturing,1,Lvl 1 : 1 to 4 GCSEs ,2,Male,167080,29177341,0.005726361
2,Manufacturing,2,Lvl 2 : 5 or more GCSEs,1,Female,88722,30420206,0.002916548
2,Manufacturing,2,Lvl 2 : 5 or more GCSEs,2,Male,196475,29177341,0.006733821
2,Manufacturing,3,Lvl 3: 2 or more A levels,1,Female,95468,30420206,0.003138309
2,Manufacturing,3,Lvl 3: 2 or more A levels,2,Male,293169,29177341,0.010047831
2,Manufacturing,4,Lvl 4 or above: Degree,1,Female,223121,30420206,0.007334631
2,Manufacturing,4,Lvl 4 or above: Degree,2,Male,438050,29177341,0.015013363
2,Manufacturing,5,apprenticeships,1,Female,36889,30420206,0.001212648
2,Manufacturing,5,apprenticeships,2,Male,169212,29177341,0.005799432
3,Construction,0,No qualifications,1,Female,25807,30420206,0.000848351
3,Construction,0,No qualifications,2,Male,266392,29177341,0.009130099
3,Construction,1,Lvl 1 : 1 to 4 GCSEs ,1,Female,34436,30420206,0.001132011
3,Construction,1,Lvl 1 : 1 to 4 GCSEs ,2,Male,215582,29177341,0.007388679
3,Construction,2,Lvl 2 : 5 or more GCSEs,1,Female,56592,30420206,0.001860342
3,Construction,2,Lvl 2 : 5 or more GCSEs,2,Male,286948,29177341,0.009834618
3,Construction,3,Lvl 3: 2 or more A levels,1,Female,64740,30420206,0.002128191
3,Construction,3,Lvl 3: 2 or more A levels,2,Male,499691,29177341,0.017125995
3,Construction,4,Lvl 4 or above: Degree,1,Female,106603,30420206,0.003504348
3,Construction,4,Lvl 4 or above: Degree,2,Male,483829,29177341,0.016582354
3,Construction,5,apprenticeships,1,Female,18193,30420206,0.000598056
3,Construction,5,apprenticeships,2,Male,347415,29177341,0.011907014
4,Hotels and restaurants,0,No qualifications,1,Female,335706,30420206,0.011035625
4,Hotels and restaurants,0,No qualifications,2,Male,407774,29177341,0.013975708
